type,text
ham,Jesus armand really is trying to tell everybody he can find
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
ham,Wa... U so efficient... Gee... Thanx...
ham,Whens your radio show?
ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
ham,What should i eat fo lunch senor
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,I sent your maga that money yesterday oh.
ham,Any way where are you and what doing.
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,S.i think he is waste for rr..
ham,Just glad to be talking to you.
ham,She told to hr that he want posting in chennai:)because i'm working here:)
ham,Have a good evening! Ttyl
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,Tomarrow final hearing on my laptop case so i cant.
ham,"Ta-Daaaaa! I am home babe, are you still up ?"
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
ham,Mm that time you dont like fun
ham,Ok.
ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
spam,You have been specially selected to receive a 3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
ham,Ok... Then r we meeting later?
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
spam,08714712388 between 10am-7pm Cost 10p
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
spam,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP
ham,"Sorry, I'll call later"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?
ham,Hey are we going for the lo lesson or gym? 
ham,ELLO BABE U OK?
ham,"Okey dokey, i€˜ll be over in a bit just sorting some stuff out."
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  # . Is there a way i could get that from you, till mid march when i hope to pay back."
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham,I don't know but I'm raping dudes at poker
ham,Just finished eating. Got u a plate. NOT leftovers this time.
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,Whatsup there. Dont u want to sleep
ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
ham,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
ham,"Damn, poor zac doesn't stand a chance"
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,Then why you not responding
ham,"How about clothes, jewelry, and trips?"
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
ham,Ma head dey swell oh. Thanks for making my day
ham,Yeah so basically any time next week you can get away from your mom & get up before 3
ham,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
ham,Yup song bro. No creative. Neva test quality. He said check review online.
ham,Thanks for looking out for me. I really appreciate.
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,What time you thinkin of goin?
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,She.s find. I sent you an offline message to know how anjola's now.
ham,Pls speak with me. I wont ask anything other then you friendship.
ham,aathi..where are you dear..
ham,What not under standing.
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ # ), when can you get here?"
ham,Tell me whos this pls:-)
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,Have you always been saying welp?
ham,happened here while you were adventuring
ham,"Watching cartoon, listening music & at eve had to go temple & church.. What about u?"
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
ham,HELLO PEACH! MY CAKE TASTS LUSH!
spam,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
ham,I know you mood off today
ham,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Yup ok thanx...
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,Shopping? Eh ger i toking abt syd leh...Haha
ham,"Hi Chikku, send some nice msgs"
ham,"Sorry that took so long, omw now"
ham,"I'm a guy, browsin is compulsory"
ham,u comin to fetch us oredi...
ham,"# %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  #  frnds in #  mins whn u read..."
ham,"Not much, just some textin'. How bout you?"
spam,RCT' THNQ Adrian for U text. Rgds Vatian
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
ham,I'm not coming home 4 dinner.
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ #  worth tonight if possible
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
ham,What time do u get out?
ham,"I can't right this second, gotta hit people up first"
ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
ham,Yes:)here tv is always available in work place..
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
spam,Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
ham,Ok lor... Or u wan me go look 4 u?
ham,I am in hospital da. . I will return home in evening
ham,Haven't left yet so probably gonna be here til dinner
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
ham,u come lt 25 n pass to me lar
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly what i want to do, not what i need to do."
ham,Lmao but its so fun...
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  # /7 NEVER STUDY just to be safe
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  # bucks
ham,"Yo, any way we could pick something up tonight?"
ham,Long beach lor. Expected... U having dinner now?
ham,What makes you most happy?
ham,Thank you baby! I cant wait to taste the real thing...
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
spam,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
ham,Not course. Only maths one day one chapter with in one month we can finish.
ham,So is there anything specific I should be doing with regards to jaklin or what because idk
ham,Haha... They cant what... At the most tmr forfeit... haha so how?
ham,"Cool, text me when you're ready"
ham,"Could you not read me, my Love ? I answered you"
ham,"Hmm well, night night "
ham,Do u hav any frnd by name ashwini in ur college?
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,As in i want custom officer discount oh.
ham,PS U no ur a grown up now right?
ham,Whats the staff name who is taking class for us?
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,Pls send me the correct name da.
ham,Thanks chikku..:-) gud nyt:-*
ham,PICK UR FONE UP NOW U DUMB?
ham,Ay wana meet on sat?u wkg on sat?
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
ham,Good Morning my Dear........... Have a great & successful day.
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,"Not really dude, have no friends i'm afraid :("
ham,A guy who gets used but is too dumb to realize it.
ham,I think that tantrum's finished so yeah I'll be by at some point
ham,"Better than bb. If he wont use it, his wife will or them doctor"
ham,"K, can that happen tonight?"
ham,Yun ah.now u wkg where?btw if u go nus sc. u wana specialise in wad?
ham,Boooo you always work. Just quit.
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,u mean it's confirmed... I tot they juz say oni... Ok then... 
ham,I told that am coming on wednesday.
ham,Are you willing to go for apps class.
ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,"see you then, we're all christmassy here!"
ham,Is xy going 4 e lunch?
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed & irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
ham,I had askd u a question some hours before. Its answer
ham,Good morning pookie pie! Lol hope I didn't wake u up
ham,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks you* Did you go to the gym too ?"
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,"Sorry, I'll call later"
ham,Great. Have a safe trip. Dont panic surrender all.
ham,Buy one egg for me da..please:)
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
spam,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,K sure am in my relatives home. Sms me de. Pls:-)
ham,I not at home now lei...
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
ham,Ya just telling abt tht incident..
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
ham,Dun need to use dial up juz open da browser n surf...
ham,"Like  # , same question"
ham,Ok lor wat time u finish?
ham,"I'll see, but prolly yeah"
spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,K... Must book a not huh? so going for yoga basic on sunday?
ham,Where r we meeting?
ham,Think + da. You wil do.
ham,You intrepid duo you! Have a great time and see you both soon. 
ham,"chile, please! It's only a  DECIMAL  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
ham,Nah dub but je still buff
ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
ham,I hope you know I'm still mad at you.
ham,LOL that would be awesome payback.
ham,Thanks for loving me so. You rock
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
ham,Ok. How many should i buy.
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
spam,URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50
ham,Pls go there today  # . I dont want any excuses
ham,"Goodmorning, Today i am late for  # min."
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,You should change your fb to jaykwon thuglyfe falconerf
ham,Bognor it is! Should be splendid at this time of year.
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
ham,S but mostly not like that.
ham,"Sorry, I'll call later"
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
ham,Sounds great! Im going to sleep now. Have a good night!
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
ham,Sir send to group mail check it.
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,And that is the problem. You walk around in julianaland oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.
ham,We can make a baby in yo tho
ham,Yes.. now only saw your message..
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,Awesome question with a cute answer: Someone asked a boy how is ur life? . . He smiled & answered: . . She is fine! Gudnite
ham,Wif my family booking tour package.
ham,I cant pick the phone right now. Pls send a message
spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,There r many model..sony ericson also der.. # ..it luks good bt i forgot modl no
ham,Please attend the phone:)
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,Want to finally have lunch today?
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,Having lunch:)you are not in online?why?
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
ham,Chk in ur belovd ms dict
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
ham,Oh did you charge camera
ham,Still i have not checked it da. . .
ham,How r u going to send it to me?
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
ham,"I'm in a meeting, call me later at"
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
ham,This phone has the weirdest auto correct.
ham,o turns out i had stereo love on mi phone under the unknown album.
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,Also that chat was awesome but don't make it regular unless you can see her in person
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
ham,Am also doing in cbe only. But have to pay.
spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
ham,Ard 515 like dat. Y?
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,"4 tacos + 1 rajas burrito, right?"
ham,I plane to give on this month end.
ham,Are there TA jobs available? Let me know please cos i really need to start working
ham,K:)k.are you in college?
ham,K:)k:)what are detail you want to transfer?acc no enough?
ham,You need to get up. Now.
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham,And pls pls drink plenty plenty water
ham,Ok then i will come to ur home after half an hour
ham,Do u noe if ben is going?
ham,"It's that time of the week again, ryan"
ham,He dint tell anything. He is angry on me that why you told to abi.
ham,What's the significance?
ham,"I hav almost reached. Call, i m unable to connect u."
ham,O ic lol. Should play 9 doors sometime yo
ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
ham,Hope you are feeling great. Pls fill me in. Abiola
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,K.:)you are the only girl waiting in reception ah?
ham,In which place do you want da.
ham,"And that's fine, I got enough bud to last most of the night at least"
spam,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
ham,From here after The performance award is calculated every two month.not for current one month period..
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
ham,Wat time u finish?
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
ham,"Found it, ENC  # , where you at?"
ham,When are you going to ride your bike?
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,"alright babe, justthought i’d sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
ham,"Come to me right now, Ahmad"
ham,No current and food here. I am alone also
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
ham,u takin linear algebra today?
ham,U sick still can go shopping?
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Dunno y u ask me.
ham,"I think we're going to finn's now, come"
ham,Got it. Seventeen pounds for seven hundred ml €“ hope ok.
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
ham,No calls..messages..missed calls
ham,I know she called me
ham,Ok. There may be a free gym about.
ham,"Not for possession, especially not first offense"
ham,Jus came back fr lunch wif my sis only. U leh?
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,Yup ok...
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,Are you planning to come chennai?
ham,Come by our room at some point so we can iron out the plan for this weekend
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you
ham,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you
ham,Glad to see your reply.
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
ham,Yo sorry was in the shower sup
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,Anything lor if they all go then i go lor...
ham,Great! How is the office today?
ham,I only haf msn. It's yijue@hotmail.com
ham,I jokin oni lar.. u busy then i wun disturb u.
ham,Eatin my lunch...
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 
ham,"Alright if you're sure, let me know when you're leaving"
ham,Nite...
ham,Okey dokey swashbuckling stuff what oh.
ham,Only once then after ill obey all yours.
ham,Sounds like something that someone testing me would sayy
ham,Have you got Xmas radio times. If not i will get it now
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together & fuelled by love & concern prior 2 her grief & pain. Pls join in dis chain & pass it. STOP VIOLENCE AGAINST WOMEN."
ham,Enjoy ur life. . Good night
